IE_XML_ID;IE_NAME;IP_PROP64
17748;KEO Армстронг с равномерной засветкой 40W;/local/templates/universe_s1/Сертификат СанПин.jpg
17749;KEO Армстронг 60 Вт равномерная засветка;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17749;KEO Армстронг 60 Вт равномерная засветка;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17749;KEO Армстронг 60 Вт равномерная засветка;/local/templates/universe_s1/Сертификат СанПин.jpg
17750;KEO Армстронг 80 Вт равномерная засветка;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17750;KEO Армстронг 80 Вт равномерная засветка;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17750;KEO Армстронг 80 Вт равномерная засветка;/local/templates/universe_s1/Сертификат СанПин.jpg
17751;KEO Маркет 27W IP54 (1200х180);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17751;KEO Маркет 27W IP54 (1200х180);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17751;KEO Маркет 27W IP54 (1200х180);/local/templates/universe_s1/Сертификат СанПин.jpg
17752;KEO Маркет 40 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17752;KEO Маркет 40 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17752;KEO Маркет 40 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Сертификат СанПин.jpg
17753;KEO Маркет 60 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17753;KEO Маркет 60 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17753;KEO Маркет 60 Вт IP54 равномерная засветка 1195х180х48;/local/templates/universe_s1/Сертификат СанПин.jpg
17754;KEO Маркет 40 Вт с равномерной засветкой IP54 1195x295x40;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17754;KEO Маркет 40 Вт с равномерной засветкой IP54 1195x295x40;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17754;KEO Маркет 40 Вт с равномерной засветкой IP54 1195x295x40;/local/templates/universe_s1/Сертификат СанПин.jpg
17755;KEO Армстронг 40 Вт IP54 равномерная засветка;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17755;KEO Армстронг 40 Вт IP54 равномерная засветка;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17755;KEO Армстронг 40 Вт IP54 равномерная засветка;/local/templates/universe_s1/Сертификат СанПин.jpg
17756;Универсальный светодиодный светильник ДВО03-36 IP54;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17756;Универсальный светодиодный светильник ДВО03-36 IP54;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17756;Универсальный светодиодный светильник ДВО03-36 IP54;/local/templates/universe_s1/Сертификат СанПин.jpg
17757;Универсальный светодиодный светильник ДВО03-54 IP54;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17757;Универсальный светодиодный светильник ДВО03-54 IP54;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17757;Универсальный светодиодный светильник ДВО03-54 IP54;/local/templates/universe_s1/Сертификат СанПин.jpg
17758;Универсальный светодиодный светильник ДВО03-36 IP54 БАП;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
